store_no,year,revenue,store_size,location_type,opening_date_first,population_within_5km,train_stations_within_500m,public_transport_stop_within_50m,public_transport_stop_within_100m,bank_atm_within_5km,atm_within_5km,shop_within_5km,supermarkets_within_5km,rest_cafe_pub_within_5km,parking_spaces_within_5km,bank_atm_within_500m,atm_within_500m,proportion_5th_income_quintile,monthly_rent_per_sqm
1356,2016,494255,220,Pedestrian zone,15/12/1997,28403,3,0,0,16,5,134,11,80,116,9,3,0.190957191,8.181818182
1351,2016,418012,403,Main shopping street,15/12/1997,18674,0,2,2,6,2,52,6,54,106,4,0,0.13174859,4.962779156
1357,2016,347424,308,Main shopping street,15/12/1997,18267,0,0,1,8,4,104,5,21,106,4,2,0.274864376,6.493506494
1349,2016,342049,213,Main shopping street,15/12/1997,26760,1,2,2,12,1,189,15,47,120,1,0,0.0906298,10.09389671
1362,2016,318413,183,Specialist retail center,15/12/1997,4259,0,0,0,2,0,22,4,12,26,0,0,0.179372197,6.606557377
1363,2016,299785,264,Main shopping street,15/12/1997,16881,0,0,0,5,0,181,9,53,84,4,0,0.221052632,7.954545455
1353,2016,237926,295,Outskirts / residential,15/12/1997,12094,0,0,0,7,2,98,8,44,63,4,1,0.214285714,5.542372881
1366,2016,226254,240,Main shopping street,15/12/1997,27347,0,0,0,3,0,32,6,21,35,3,0,0.262554585,6.25
1368,2016,195309,172,Main shopping street,15/12/1997,42879,0,0,0,5,0,46,6,33,108,1,0,0.10105871,
1378,2016,345510,301,Outskirts / residential,19/01/1998,11717,1,0,0,5,0,94,5,50,51,4,0,0.207207207,6.810631229
1407,2016,414722,254,Outskirts / residential,09/03/1998,6892,2,0,0,3,1,39,4,57,49,3,1,0.131072874,8.661417323
1408,2016,335222,322,Specialist retail center,09/03/1998,22695,1,0,0,17,6,250,13,64,85,1,1,0.166037736,10.17080745
1400,2016,326604,200,Pedestrian zone,09/03/1998,26746,5,0,0,13,4,106,6,105,112,7,2,0.273030708,15.33875
1396,2016,308282,308,Specialist retail center,09/03/1998,30898,0,2,4,9,3,129,11,61,129,1,1,0.105100993,
1404,2016,264770,283,Main shopping street,09/03/1998,25861,3,3,3,16,8,131,8,62,227,5,1,0.239755572,7.4204947
1395,2016,235554,289,Specialist retail center,09/03/1998,23841,0,0,2,6,2,69,8,27,117,0,0,0.119110641,7.064705882
1331,2016,347154,283,Main shopping street,12/03/1998,15760,0,0,0,3,0,44,4,10,65,1,0,0.133916849,7.067137809
1344,2016,310320,279,Pedestrian zone,12/03/1998,10081,0,0,0,2,0,29,5,22,53,2,0,0.158584535,4.838709677
1342,2016,209759,160,Main shopping street,12/03/1998,29057,3,0,3,16,6,123,8,46,86,6,1,0.254398827,10.9375
1345,2016,392333,248,Main shopping street,19/03/1998,10424,0,0,0,9,4,99,10,52,94,5,3,0.218243243,5.64516129
1384,2016,349491,445,Main shopping street,24/03/1998,11670,3,4,4,5,0,66,8,28,71,3,0,0.181881051,6.292134831
1393,2016,260224,316,Specialist retail center,26/03/1998,14246,0,0,2,7,3,112,8,26,109,2,2,0.128571429,6.655063291
